2021-12-09 15:37:44,583 DEBUG transport.py Сформирован словарь сообщения: {'action': 'message', 'from': 'gagik', 'to': 'fuganok', 'time': 1639039064.5837522, 'mess_text': 'Ti5I8tUhvZLvh368WgouN2oFOPMUjLPh/hT5xtL1D3I5L63/GXAjY0I8h2SZ8xdzTMv4yUcH15ByaP2vk6d99fOFsHqfCTwlS1CuSaisWGSKnFRZnj5hdjBN+SGNSPRcTM/dd+n42cxd4XoWiHdbb8dEE0V3M68mKzJaUVXnfTMGFKF4XhOKuGMxlht0Tau8TCfovSF8X4n0n/iy2yOf52ikGThL999u0U9KYzsOS7FNx9xI1mozQfLXrjNZuhz64WH7dXU/u3B4IExdXsGyU00c8kw65uqi1yQUml9UhjTblPe7mtFSRHv1POHSxoRp8XqQ8jAn1ckNFUR870IUdg=='}
2021-12-09 15:37:44,583 DEBUG decos.py Функция: send_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'gagik', 'to': 'fuganok', 'time': 1639039064.5837522, 'mess_text': 'Ti5I8tUhvZLvh368WgouN2oFOPMUjLPh/hT5xtL1D3I5L63/GXAjY0I8h2SZ8xdzTMv4yUcH15ByaP2vk6d99fOFsHqfCTwlS1CuSaisWGSKnFRZnj5hdjBN+SGNSPRcTM/dd+n42cxd4XoWiHdbb8dEE0V3M68mKzJaUVXnfTMGFKF4XhOKuGMxlht0Tau8TCfovSF8X4n0n/iy2yOf52ikGThL999u0U9KYzsOS7FNx9xI1mozQfLXrjNZuhz64WH7dXU/u3B4IExdXsGyU00c8kw65uqi1yQUml9UhjTblPe7mtFSRHv1POHSxoRp8XqQ8jAn1ckNFUR870IUdg=='}) , {}. Вызов из модуля common.utils
2021-12-09 15:37:44,584 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:44,879 DEBUG decos.py Функция: process_response_answer с параметрами: (<ClientTransport(Thread-1, started daemon 3756)>, {'response': 400, 'error': 'Пользователь не зарегистрирован на сервере.'}) , {}. Вызов из модуля client.transport
2021-12-09 15:37:44,879 DEBUG transport.py Серверное сообщение: {'response': 400, 'error': 'Пользователь не зарегистрирован на сервере.'}
2021-12-09 15:37:45,349 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:46,850 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:48,356 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:49,882 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:51,405 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:52,926 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:54,441 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:37:55,942 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
